	# Species	Genes	Genuses	Genes_with_ZDNA	Max ZH-Score	Mean ZH-Score	Function
2862	33	41	9	7	27872.66	14822.998428571429	Antibiotic biosynthesis monooxygenase
504	32	43	8	7	6565.992	2995.3879714285713	Metal abc transporter substrate-binding protein
609	29	39	8	7	13713.99	3550.784685714286	Metq/nlpa family abc transporter substrate-binding protein
3284	29	39	8	7	13072.54	2856.7496857142864	Hydroxyisourate hydrolase
2294	28	35	8	7	13713.99	3375.3844571428567	Ybdd/yjix family protein
751	49	65	10	6	302785.5	107246.99133333332	Histidinol-phosphate transaminase
1227	47	78	10	6	1116.621	983.4731333333334	L-serine ammonia-lyase
360	44	58	9	6	1202.592	1022.3731666666669	M48 family metallopeptidase
1785	44	64	9	6	1301.77	946.4912666666668	Glutathione peroxidase
1332	43	57	10	6	13713.99	5651.522666666667	Phzf family phenazine biosynthesis protein
1135	41	54	9	6	6420.008	2676.2518333333333	Glycerate kinase
1359	40	62	10	6	980.8116	887.9273	Nad-dependent succinate-semialdehyde dehydrogenase
1649	36	46	8	6	13713.99	4186.721166666667	Undecaprenyl-phosphate 4-deoxy-4-formamido-l-arabinose transferase
3012	36	42	8	6	8485.756	6119.302116666666	Cytosine deaminase
381	34	44	10	6	3993.322	1786.9586166666666	Catalase
1764	31	37	8	6	28780.5	6413.792933333333	Multidrug efflux mfs transporter periplasmic adaptor subunit emra
1749	30	37	8	6	13713.99	4347.470733333333	L-ala-d/l-glu epimerase
6468	29	44	6	6	8156.898	2173.238733333333	Sugar efflux transporter
6782	27	38	10	6	13713.99	4912.798266666666	Lysr family transcriptional regulator
5905	26	32	6	6	3428.529	1213.0168166666665	Hypc/hybg/hupf family hydrogenase formation chaperone
6709	26	36	8	6	883.5764	829.8429500000001	Dihydroxyacetone kinase subunit dhak
840	25	32	9	6	17253.57	7287.0197	Phage tail protein i
4509	25	35	8	6	198956.2	75054.8404	Abc transporter atp-binding protein
228	50	68	10	5	4545.701	1752.5179799999999	Cupin domain-containing protein
249	45	52	10	5	13713.99	9406.0412	Diaminopimelate decarboxylase
544	45	51	10	5	38833.58	10094.55372	Tonb system transport protein exbd
2221	43	52	9	5	12351.13	4385.32232	Cytochrome o ubiquinol oxidase subunit i
2886	40	51	9	5	8922.646	2552.23488	4-aminobutyrate--2-oxoglutarate transaminase
88	39	74	10	5	2765.963	1254.9945	Cold-shock protein
170	39	44	9	5	2752.447	2242.1848800000002	Biotin-dependent carboxyltransferase family protein
825	37	47	10	5	1737.612	1034.43284	Murr/rpir family transcriptional regulator
2493	37	44	9	5	13713.99	3717.46336	Flagellar type iii secretion system protein flhb
321	36	44	8	5	2752.447	1296.2446	Glutamine abc transporter atp-binding protein glnq
151	35	51	10	5	28780.5	7500.3892000000005	Hlyd family type i secretion periplasmic adaptor subunit
724	35	41	8	5	10272.33	3798.98492	Phosphate abc transporter substrate-binding protein psts
3888	35	45	9	5	6565.992	3183.5941599999996	Atp-binding protein
1604	34	44	9	5	1456.636	908.2801	Efflux rnd transporter permease subunit
2153	34	43	8	5	138924.1	48847.636000000006	Two-component system response regulator btsr
2490	34	44	8	5	3428.529	1328.8635399999998	Flagellar basal body l-ring protein flgh
2654	34	39	9	5	38833.58	11039.65984	Flagellar type iii secretion system pore protein flip
2726	34	43	8	5	38833.58	16569.719540000002	Dienelactone hydrolase family protein
3077	34	52	9	5	6910.52	2790.89528	L,d-transpeptidase
1763	33	43	8	5	980.8116	903.0234400000002	Dha2 family efflux mfs transporter permease subunit
3699	33	44	9	5	1273.964	839.7847399999998	Type vi secretion system baseplate subunit tssf
3847	33	43	9	5	66470.78	31338.267000000003	Type vi secretion system atpase tssh
3732	32	49	9	5	2091.083	1051.27334	Undecaprenyl-phosphate glucose phosphotransferase
35	31	50	8	5	13713.99	4372.83624	Malate/lactate/ureidoglycolate dehydrogenase
2850	31	36	8	5	1403.277	1010.6004599999999	Flagellar motor switch protein flig
841	27	32	9	5	8485.756	7409.595200000001	Phage tail sheath protein
1315	27	37	7	5	13713.99	6545.3534	Mfs transporter
838	26	31	9	5	2752.447	1920.20202	Gpw/gp25 family protein
3006	26	34	7	5	3428.529	1392.56692	2-dehydro-3-deoxyglucarate aldolase
4322	26	37	9	5	2169.599	1118.6463200000003	Helix-turn-helix transcriptional regulator
5819	26	38	7	5	13713.99	4355.64204	Metal/formaldehyde-sensitive transcriptional repressor
6325	26	32	7	5	13713.99	8939.74076	Glutathionylspermidine synthase family protein
9409	26	32	9	5	38833.58	12183.472	Phage tail protein
10205	25	33	8	5	3428.529	1377.58006	Replication endonuclease
697	48	59	10	4	4914.146	1891.2188	Iron-sulfur cluster assembly protein isca
58	47	53	10	4	3428.529	2565.1062	Protein fmn transferase
1103	47	65	10	4	1733.503	1263.08945	Trimeric intracellular cation channel family protein
1043	46	51	10	4	21732.38	8446.20075	Dihydrolipoyl dehydrogenase
785	45	49	10	4	13713.99	10530.695399999999	Glyceraldehyde-3-phosphate dehydrogenase
1149	43	48	9	4	783.823	783.823	Phosphoenolpyruvate carboxykinase (atp)
1679	43	50	9	4	3174.797	1987.639625	Glucose-1-phosphate thymidylyltransferase rfba
1501	42	46	10	4	3428.529	1530.18635	Glycerophosphodiester phosphodiesterase
1462	40	51	10	4	6565.992	2947.6461	Gnat family n-acetyltransferase
153	39	51	10	4	13713.99	4079.1589	Type i secretion system permease/atpase
2952	39	48	8	4	908.3955	908.3955	Histidine abc transporter atp-binding protein hisp
250	36	46	10	4	8323.257	3195.5153	Glutathione transferase gsta
985	36	53	10	4	3428.529	2273.9688	Arac family transcriptional regulator
2851	36	41	9	4	904.32	899.1341	Flagellar m-ring protein flif
607	35	47	9	4	6408.923	2277.2176	Abc transporter permease
2657	35	40	9	4	13713.99	5217.285749999999	Flagellum-specific atp synthase flii
1692	34	38	8	4	9492.083	7302.1455000000005	Abc transporter permease
3761	33	38	8	4	16770.32	8374.82125	Flagellar assembly peptidoglycan hydrolase flgj
3848	33	44	9	4	3333.338	1678.5688249999998	Type vi secretion system baseplate subunit tssg
408	32	41	9	4	883.5764	805.6253750000001	Amino acid abc transporter atp-binding protein
1750	32	47	9	4	29467.88	11292.2504	Voc family protein
2863	32	38	8	4	2173.083	1850.70635	Eal domain-containing protein
2094	31	40	8	4	4057.419	2268.1935249999997	Mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
1406	30	36	9	4	3428.529	2168.46225	Secretion protein hlyd
2028	30	35	7	4	211093.9	109101.91579999999	Quinone oxidoreductase
1727	29	42	9	4	38833.58	10444.04025	Lysr family transcriptional regulator
1800	29	36	7	4	38833.58	12153.780250000002	Response regulator transcription factor
2633	29	36	9	4	74987.35	23253.361350000003	Sigma-70 family rna polymerase sigma factor
2944	29	34	8	4	3428.529	2425.01155	Chemotaxis response regulator protein-glutamate methylesterase
2909	28	33	6	4	3051.765	1856.6765500000001	Lysr family transcriptional regulator
189	27	35	10	4	3993.322	1968.3169000000003	Multidrug efflux smr transporter
839	27	34	9	4	2752.447	1067.51665	Baseplate assembly protein
2110	27	35	7	4	13713.99	4445.034125	Antibiotic biosynthesis monooxygenase
2478	27	32	6	4	4545.701	3151.33775	Gnat family n-acetyltransferase
5159	27	34	9	4	1994.814	1161.3858	Lysr family transcriptional regulator
1972	26	36	8	4	13713.99	7435.589099999999	Alpha/beta hydrolase
3275	26	34	8	4	3428.529	2131.1143500000003	Tetr/acrr family transcriptional regulator
4149	26	31	7	4	5485.32	4537.236	Magnesium-translocating p-type atpase
5970	26	30	6	4	3428.529	2816.59965	Hydrogenase maturation nickel metallochaperone hypa
5997	26	31	7	4	13713.99	4669.73625	Sugar abc transporter permease
2663	25	31	8	4	13713.99	4091.1798	Sdr family oxidoreductase
2808	25	34	7	4	8485.756	3242.1922499999996	Mbl fold metallo-hydrolase
6887	25	29	7	4	8485.756	4692.83575	Tagaturonate reductase
129	49	52	10	3	1117.472	961.5416	Porphobilinogen synthase
852	48	52	10	3	3135.789	1669.7850666666666	Utp--glucose-1-phosphate uridylyltransferase galu
128	47	52	10	3	9300.843	3664.1269666666667	Pirin family protein
1093	46	51	10	3	908.3955	908.3955	Pyruvate kinase
1200	46	49	10	3	3428.529	1870.6442	Cardiolipin synthase
66	45	49	10	3	3428.529	1914.3018	Transcriptional regulator gcva
1590	44	47	10	3	38833.58	18095.060666666668	Tonb-dependent vitamin b12 receptor btub
134	42	50	9	3	883.5764	883.5764	Ornithine carbamoyltransferase
482	41	44	10	3	302785.5	102637.51166666666	Two-component system response regulator narl
6228	39	42	8	3	908.3955	891.8494333333333	S-ribosylhomocysteine lyase
1593	38	48	9	3	2752.447	1506.5332666666666	Efflux rnd transporter permease subunit
1671	38	41	8	3	2752.447	2752.447	Hutd family protein
2052	38	50	9	3	4545.701	2022.6017	Lipocalin family protein
2115	38	54	10	3	2752.447	1506.5332666666666	Transketolase family protein
3076	38	43	9	3	13713.99	6857.016	4'-phosphopantetheinyl transferase superfamily protein
2488	37	40	9	3	2943.461	2310.5603333333333	Flagellar basal body p-ring protein flgi
2500	36	48	9	3	8485.756	3819.194333333333	Carboxymuconolactone decarboxylase family protein
2491	35	40	9	3	3428.529	2580.211466666667	Flagellar basal-body rod protein flgg
2943	35	39	8	3	8485.756	3453.260866666666	Protein phosphatase chez
540	34	48	8	3	10894.72	5691.898666666667	Carbon starvation protein a
594	34	43	8	3	28780.5	12544.757333333333	Abc transporter atp-binding protein
2940	34	40	8	3	3428.529	2580.211466666667	Flagellar basal body rod protein flgf
3171	34	48	8	3	3428.529	1809.5754666666664	Chemotaxis protein chea
6758	34	40	9	3	2779.551	2137.2064666666665	Alkaline phosphatase
6806	34	37	8	3	883.5764	883.5764	Nicotinamide riboside transporter pnuc
1279	33	37	9	3	6680.689	2824.2203000000004	Iron-enterobactin abc transporter atp-binding protein
3817	33	39	9	3	3804.257	2672.203	Siderophore-interacting protein
641	32	39	8	3	27872.66	10994.817333333332	Efflux transporter outer membrane subunit
1449	32	36	8	3	13713.99	13713.99	Arac family transcriptional regulator
1458	32	39	8	3	3428.529	1739.7173666666667	Phosphomannomutase/phosphoglucomutase
4321	32	47	8	3	27872.66	11006.597133333335	2-dehydro-3-deoxy-d-gluconate 5-dehydrogenase kdud
3154	31	35	8	3	883.5764	672.9728666666666	Hth-type transcriptional regulator rutr
3698	31	38	8	3	883.5764	883.5764	Type vi secretion system contractile sheath large subunit
1493	30	33	9	3	38833.58	16213.267466666666	Lysr family transcriptional regulator
1848	30	34	6	3	883.5764	653.6034333333333	Agmatine deiminase
3039	30	45	8	3	2752.447	1583.6474666666666	Lyse family translocator
3701	30	65	9	3	13713.99	9469.5972	Type vi secretion system tip protein vgrg
4159	30	37	7	3	904.32	890.4909333333334	D-cysteine desulfhydrase
809	29	34	7	3	883.5764	750.2759666666666	Dmt family transporter
899	29	40	9	3	28780.5	10158.8542	Dihydropyrimidinase
1477	29	38	9	3	3428.529	2053.3290666666667	Four-carbon acid sugar kinase family protein
2958	29	39	9	3	138924.1	46848.86473333334	Type 1 glutamine amidotransferase domain-containing protein
3127	29	35	6	3	980.8116	882.7370000000001	Sulfonate abc transporter substrate-binding protein
3666	29	44	7	3	3428.529	1731.0545333333332	Translesion error-prone dna polymerase v autoproteolytic subunit
6871	29	36	7	3	2752.447	1428.5644666666667	Pyridoxal phosphate-dependent aminotransferase
843	28	32	9	3	74987.35	26441.424833333334	Phage late control d family protein
1236	28	33	7	3	4545.701	2192.2311666666665	Aec family transporter
1952	28	36	7	3	1551.702	1138.6966666666667	Alpha/beta hydrolase
836	27	36	8	3	6898.532	3736.8791333333334	Trar/dksa family transcriptional regulator
2948	27	33	7	3	908.3955	736.7450333333333	Lysr substrate-binding domain-containing protein
1310	26	33	10	3	5351.021	2430.5684666666666	Ferric-rhodotorulic acid/ferric-coprogen receptor fhue
1344	26	37	6	3	2752.447	1686.3196666666665	Universal stress protein
3674	26	40	8	3	6565.992	3055.0655	Malate dehydrogenase (quinone)
9412	25	29	8	3	883.5764	811.3408666666666	Phage tail protein
471	49	64	10	2	908.3955	908.3955	D-alanine--d-alanine ligase
796	49	51	10	2	980.8116	815.8657000000001	Tryptophan synthase subunit alpha
952	49	57	10	2	2752.447	1977.0590000000002	Molybdopterin molybdotransferase moea
1009	49	54	10	2	8323.257	4762.464	Riboflavin synthase
403	48	54	10	2	3661.11	3206.7785000000003	Ketoacyl-acp synthase iii
557	48	53	10	2	50885.97	27157.2495	Aminodeoxychorismate/anthranilate synthase component ii
788	48	52	10	2	2943.461	1855.0421	Rida family protein
47	47	52	10	2	6565.992	3773.4018	Copper-exporting p-type atpase copa
694	47	53	10	2	3804.257	3282.8535	Methylated-dna--
213	45	51	10	2	3428.529	2273.0005	Yban family protein
987	45	47	10	2	13713.99	7298.7832	Transcriptional repressor lexa
1122	45	51	10	2	2659.79	1844.9975	Ncs2 family permease
1228	44	48	10	2	2779.551	1831.5637	Rida family protein
1379	44	49	9	2	961.0532	761.11445	Udp-glucose/gdp-mannose dehydrogenase family protein
1786	44	51	9	2	13713.99	8613.004	Ferredoxin--nadp(+) reductase
155	43	51	10	2	28780.5	15909.873	Nitrate reductase
204	43	58	10	2	1202.592	1043.0842	Elongation factor tu
848	43	45	10	2	2752.447	1866.6293	Fumarate/nitrate reduction transcriptional regulator fnr
1371	43	45	10	2	13713.99	7314.9545499999995	Oxidoreductase
2143	42	48	9	2	3428.529	2695.118	Lytic murein transglycosylase b
2173	42	45	9	2	302785.5	184334.805	Nad-dependent epimerase
1551	41	51	10	2	3428.529	2156.0527	Multicopper oxidase cueo
2284	41	43	9	2	1737.612	1359.2118	Amidohydrolase
2508	41	49	9	2	4860.206	3806.3265	Oxidoreductase
274	40	46	9	2	138924.1	71176.31450000001	Bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
1115	40	51	10	2	8782.157	5119.3965	Udp-glucose 4-epimerase gale
1267	40	49	10	2	883.5764	883.5764	Organic hydroperoxide resistance protein
2678	40	50	9	2	1005.56	989.8685	Mfs transporter
6644	40	42	9	2	3428.529	2328.6245	Ribokinase
620	39	67	10	2	13713.99	7426.4915	Sn-glycerol-3-phosphate abc transporter atp-binding protein ugpc
1312	39	43	10	2	1232.502	1008.1624999999999	Phosphoethanolamine transferase epta
1629	39	44	8	2	4545.701	2808.679	Fumarylacetoacetate hydrolase family protein
1757	39	42	8	2	6680.689	3749.48225	3-mercaptopyruvate sulfurtransferase
6321	39	44	8	2	980.8116	932.194	Calcium/sodium antiporter
1271	38	44	9	2	2752.447	2752.447	Nitrate/nitrite two-component system sensor histidine kinase narq
2359	38	42	9	2	653.7716	631.08865	Lysr family transcriptional regulator
2692	38	44	9	2	1726.678	1472.063	Asparagine synthase b
6074	38	40	9	2	3428.529	2204.6702999999998	Na+/h+ antiporter nhaa
367	37	40	10	2	38833.58	26273.785	Nad(p)h-dependent oxidoreductase
639	37	45	9	2	2752.447	1866.6293	Amino acid permease
3064	37	48	8	2	2752.447	1934.534	Branched-chain amino acid abc transporter substrate-binding protein
410	36	38	9	2	6420.008	3651.7922	Amino acid abc transporter permease
879	36	44	9	2	2752.447	1703.3476	Nadp-specific glutamate dehydrogenase
1300	36	43	10	2	2659.79	1685.9885	Efflux rnd transporter periplasmic adaptor subunit
2074	36	41	8	2	27872.66	14494.6405	Low affinity potassium transporter kup
1140	35	37	9	2	2752.447	1818.0117	Sulp family inorganic anion transporter
1917	35	42	8	2	2752.447	1768.135	Cyclopropane fatty acyl phospholipid synthase
2308	35	39	8	2	1430.8	1040.8599	Gsh-dependent disulfide bond oxidoreductase
3036	35	37	9	2	3881.305	2603.715	Response regulator
364	34	36	8	2	1201.671	1042.6237	Sulfite exporter taue/safe family protein
1179	34	37	7	2	915.9191	915.9191	Aspartate/tyrosine/aromatic aminotransferase
1577	34	43	8	2	883.5764	883.5764	Aldo/keto reductase
2995	34	37	8	2	13713.99	8233.218499999999	Atze family amidohydrolase
956	33	36	8	2	2752.447	1768.135	Glutathione s-transferase
1324	33	36	9	2	13713.99	8571.2595	Beta-glucosidase bglx
1325	33	36	9	2	3428.529	3097.246	Azlc family abc transporter permease
1708	33	36	8	2	2752.447	1818.0117	Phosphonate abc transporter substrate-binding protein
3317	33	35	7	2	6420.008	3490.59185	Succinylglutamate-semialdehyde dehydrogenase
6012	33	36	7	2	3428.529	2626.0	Bifunctional acetaldehyde-coa/alcohol dehydrogenase
6613	33	39	7	2	883.5764	883.5764	Molybdopterin guanine dinucleotide-containing s/n-oxide reductase
1873	32	39	7	2	13072.54	6978.0582	Efflux rnd transporter permease subunit
1930	32	35	8	2	3428.529	2315.5605	Voc family protein
3119	32	37	8	2	883.5764	883.5764	Flagellar motor stator protein mota
621	31	33	9	2	3428.529	3428.529	Sn-glycerol-3-phosphate import atp-binding protein ugpc
1812	31	37	8	2	2945.877	2945.877	Apc family permease
6429	31	41	7	2	1493.421	1237.1163000000001	Virk/ybjx family protein
600	30	34	8	2	138924.1	70094.14450000001	Formate dehydrogenase subunit beta
845	30	37	9	2	2761.45	1733.43725	Tyrosine-type recombinase/integrase
1982	30	34	8	2	980.8116	932.194	Pirin family protein
3697	30	34	8	2	2264.006	1573.7912	Type vi secretion system contractile sheath small subunit
1241	29	34	10	2	4553.39	2767.1008	(s)-acetoin forming diacetyl reductase
2897	29	36	7	2	2752.447	1699.7927	Fad-binding oxidoreductase
3829	29	35	9	2	1264.189	1084.2545	Pdr/vanb family oxidoreductase
6335	29	35	6	2	138924.1	70063.346	L-ribulose-5-phosphate 4-epimerase
6769	29	35	7	2	1008.605	994.7083	Isopenicillin n synthase family oxygenase
1791	28	35	9	2	1323.054	1323.054	Lysr family transcriptional regulator
2572	28	30	8	2	1430.8	1041.0970499999999	Mmcq/yjbr family dna-binding protein
2622	28	34	8	2	2752.447	1977.0590000000002	Tonb-dependent receptor
1380	27	32	9	2	959.6069	760.3913	Coa transferase subunit a
1492	27	29	9	2	3428.529	2156.0527	Flavin oxidoreductase/nadh oxidase
3244	27	31	8	2	3700.972	3700.972	Oxidoreductase
6342	27	31	9	2	766.6232	708.7715000000001	Yafy family transcriptional regulator
486	26	28	8	2	8485.756	5334.665	Plp-dependent aminotransferase family protein
1915	26	32	8	2	38833.58	19935.4165	Gfa family protein
2059	26	32	8	2	3140.96	2024.67775	Helix-turn-helix transcriptional regulator
2342	26	29	8	2	2091.083	2091.083	Efflux rnd transporter periplasmic adaptor subunit
5836	26	28	6	2	883.5764	883.5764	Dna damage-inducible protein i
1444	25	29	6	2	13713.99	7298.7832	Amidohydrolase
2111	25	29	8	2	13713.99	8258.173	Sdr family oxidoreductase
2440	25	28	8	2	4860.206	4860.206	Metalloregulator arsr/smtb family transcription factor
6360	25	29	7	2	3514.935	2140.7790999999997	Thioredoxin family protein
116	49	50	10	1	3428.529	3428.529	Ferrochelatase
210	49	50	10	1	980.8116	980.8116	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
795	49	51	10	1	2752.447	2752.447	Tryptophan synthase subunit beta
996	49	50	10	1	1323.054	1323.054	Exodeoxyribonuclease v subunit beta
1216	49	53	10	1	883.5764	883.5764	Bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
400	48	51	10	1	1248.717	1248.717	Disulfide interchange protein dsba
421	48	50	10	1	826.8355	826.8355	Archaetidylserine decarboxylase
597	48	49	10	1	3428.529	3428.529	Glutathione-disulfide reductase
791	48	53	10	1	883.5764	883.5764	Lysine--trna ligase
820	48	53	10	1	1323.054	1323.054	Gtp 3',8-cyclase moaa
1008	48	56	10	1	3428.529	3428.529	3,4-dihydroxy-2-butanone-4-phosphate synthase
1074	48	54	10	1	2752.447	2752.447	Peptide-methionine (s)-s-oxide reductase msra
1080	48	50	10	1	826.2209	826.2209	Glucose-6-phosphate isomerase
538	47	48	10	1	908.3955	908.3955	Inositol-1-monophosphatase
616	47	48	10	1	65884.11	65884.11	Exodeoxyribonuclease iii
276	46	52	10	1	6970.795	6970.795	Fkbp-type peptidyl-prolyl cis-trans isomerase
91	45	54	10	1	546.8554	546.8554	Mbl fold metallo-hydrolase
603	45	46	10	1	1228.72	1228.72	Peptidylprolyl isomerase
1075	45	46	10	1	38833.58	38833.58	Envelope biogenesis factor elyc
1299	45	52	10	1	6565.992	6565.992	Long-chain fatty acid transporter fadl
1336	45	46	10	1	13713.99	13713.99	Eama family transporter rard
31	44	50	10	1	2752.447	2752.447	Cu(i)-responsive transcriptional regulator
197	44	45	10	1	6565.992	6565.992	Fad-binding oxidoreductase
451	44	45	9	1	2943.461	2943.461	3'(2'),5'-bisphosphate nucleotidase cysq
602	44	48	10	1	3428.529	3428.529	Formate dehydrogenase accessory sulfurtransferase fdhd
1022	44	47	9	1	828.6824	828.6824	Dgtpase
1274	44	45	10	1	1677.063	1677.063	Nadp-dependent oxaloacetate-decarboxylating malate dehydrogenase
1469	44	45	10	1	13713.99	13713.99	Llm class flavin-dependent oxidoreductase
1566	44	51	9	1	980.8116	980.8116	Molybdenum cofactor biosynthesis protein b
1580	44	45	10	1	3428.529	3428.529	Trifunctional transcriptional regulator/proline dehydrogenase/l-glutamate gamma-semialdehyde dehydrogenase
1970	44	46	9	1	2752.447	2752.447	Putative lipopolysaccharide heptosyltransferase iii
2280	44	58	9	1	650.9198	650.9198	Fumarate hydratase
2334	44	45	9	1	1430.8	1430.8	M48 family metalloprotease
2381	44	45	9	1	38833.58	38833.58	Abc transporter atp-binding protein
1751	43	45	9	1	13713.99	13713.99	Glucokinase
182	42	49	9	1	883.5764	883.5764	Dipeptide abc transporter permease dppb
823	42	47	10	1	4615.4	4615.4	Lysine-sensitive aspartokinase 3
861	42	54	9	1	1138.993	1138.993	Acetate kinase
1338	42	43	10	1	1743.107	1743.107	Urocanate hydratase
2154	42	43	9	1	1138.993	1138.993	Patatin-like phospholipase rssa
2225	42	48	9	1	505.8732	505.8732	Heme o synthase
2231	42	43	9	1	766.6232	766.6232	S-(hydroxymethyl)glutathione dehydrogenase/class iii alcohol dehydrogenase
2345	42	43	9	1	1737.612	1737.612	Glycine zipper 2tm domain-containing protein
26	41	44	9	1	883.5764	883.5764	5-oxoprolinase subunit pxpb
1288	41	42	9	1	4270.735	4270.735	Two-component system sensor histidine kinase rstb
1666	41	45	9	1	883.5764	883.5764	Sulfate adenylyltransferase subunit cysd
25	40	57	9	1	1164.52	1164.52	5-oxoprolinase subunit pxpa
2237	40	41	9	1	94590.41	94590.41	Two-component system response regulator kdpe
2910	40	44	9	1	13713.99	13713.99	Lysr family transcriptional regulator
1434	39	45	9	1	883.5764	883.5764	Cidb/lrgb family autolysis modulator
1479	39	44	9	1	783.823	783.823	Aldehyde dehydrogenase
1710	39	44	9	1	1390.269	1390.269	Hemolysin family protein
2356	39	41	9	1	2264.006	2264.006	Sulfate/thiosulfate abc transporter atp-binding protein cysa
2595	39	41	9	1	1248.717	1248.717	Histidine utilization repressor
5936	39	52	9	1	1264.189	1264.189	Nupc/nupg family nucleoside cnt transporter
6208	39	40	8	1	13713.99	13713.99	Oxidative stress defense protein
192	38	39	10	1	1743.107	1743.107	Aquaporin z
318	38	40	10	1	2183.574	2183.574	Deor family transcriptional regulator
3104	38	39	9	1	908.3955	908.3955	Mfs transporter
3508	38	41	8	1	766.6232	766.6232	Two-component system response regulator rssb
339	37	40	9	1	591.4854	591.4854	Coa-acylating methylmalonate-semialdehyde dehydrogenase
2418	37	44	8	1	4576.539	4576.539	Nitric oxide-sensing transcriptional repressor nsrr
2485	37	44	9	1	883.5764	883.5764	Flagellar hook protein flge
